"SYSTID";"MATNR";"MEINH";"LFNUM";"EAN11";"EANTP";"HPEAN"
"RA1";"000000000010100312";"ST";2;"VOID - 38365";"Z3";NA
"RA1";"000000000010100749";"ST";3;"42406";"Z2";NA
"RA1";"000000000010130826";"ST";4;"142632";"Z2";NA
"RA1";"000000000010130842";"ST";1;"132968";"Z2";NA
"RA1";"000000000010130932";"ST";4;"129937";"Z2";NA
"RA1";"000000000010131192";"ST";2;"VOID - 38365";"Z3";NA
"RA1";"000000000010131312";"ST";1;"132967";"Z2";NA
"RA1";"000000000010131561";"ST";3;"42406";"Z2";NA
"RA1";"000000000010131758";"ST";4;"142633";"Z2";NA
"RA1";"000000000010132255";"ST";2;"134114";"Z2";NA
"RA1";"000000000010132306";"ST";2;"133558";"Z2";NA
"RA1";"000000000010132717";"ST";2;"133790";"Z2";NA
"RA1";"000000000010132739";"ST";1;"136627";"Z2";NA
"RA1";"000000000010133171";"ST";2;"135397";"Z2";NA
"RA1";"000000000010133182";"ST";1;"136696";"Z2";NA
"RA1";"000000000010133186";"ST";1;"136882";"Z2";NA
"RA1";"000000000010133195";"ST";1;"137299";"Z2";NA
"RA1";"000000000010137230";"ST";1;"102657";"Z2";"X"
"RA1";"000000000010137230";"ST";2;"CF REG PURMO";"Z3";NA
"RA1";"000000000010139185";"ST";2;"134162";"Z2";NA
"RA1";"000000000010139186";"ST";2;"134261";"Z2";NA
"RA1";"000000000010139328";"ST";1;"137219";"Z2";NA
"RA1";"000000000010139449";"ST";1;"112495";"Z2";"X"
"RA1";"000000000010139449";"ST";2;"SE VEDB10";"Z3";NA
"RA1";"000000000010139501";"ST";1;"136751";"Z2";NA
"RA1";"000000000010139507";"ST";1;"137096";"Z2";NA
"RA1";"000000000010139508";"ST";1;"137145";"Z2";NA
"RA1";"000000000010139560";"ST";1;"137158";"Z2";NA
"RA1";"000000000010139678";"ST";2;"133547";"Z2";NA
"RA1";"000000000010139686";"ST";2;"133849";"Z2";NA
"RA1";"000000000010139713";"ST";2;"135315";"Z2";NA
"RA1";"000000000010139720";"ST";2;"135608";"Z2";NA
"RA1";"000000000010139819";"ST";1;"110885";"Z2";"X"
"RA1";"000000000010139819";"ST";2;"NOR GD25";"Z3";NA
"RA1";"000000000010139824";"ST";1;"124295";"Z2";"X"
"RA1";"000000000010139824";"ST";2;"SE VESDWH";"Z3";NA
"RA1";"000000000010139981";"ST";2;"135589";"Z2";NA
"RA1";"000000000010140006";"ST";1;"136745";"Z2";NA
"RA1";"000000000010140007";"ST";1;"136758";"Z2";NA
"RA1";"000000000010140088";"ST";2;"133528";"Z2";NA
"RA1";"000000000010140092";"ST";2;"133578";"Z2";NA
"RA1";"000000000010140094";"ST";2;"133656";"Z2";NA
"RA1";"000000000010140097";"ST";2;"133734";"Z2";NA
"RA1";"000000000010140103";"ST";2;"133818";"Z2";NA
"RA1";"000000000010140110";"ST";2;"133905";"Z2";NA
"RA1";"000000000010140122";"ST";2;"134144";"Z2";NA
"RA1";"000000000010140225";"ST";1;"137139";"Z2";NA
"RA1";"000000000010140226";"ST";1;"137152";"Z2";NA
"RA1";"000000000010140228";"ST";1;"137177";"Z2";NA
"RA1";"000000000010140658";"ST";1;"110889";"Z2";"X"
"RA1";"000000000010140658";"ST";2;"NOR AO15";"Z3";NA
"RA1";"000000000010140817";"ST";2;"133538";"Z2";NA
"RA1";"000000000010140825";"ST";2;"133588";"Z2";NA
"RA1";"000000000010140828";"ST";2;"133686";"Z2";NA
"RA1";"000000000010140854";"ST";2;"133877";"Z2";NA
"RA1";"000000000010140868";"ST";2;"133973";"Z2";NA
"RA1";"000000000010140870";"ST";2;"133988";"Z2";NA
"RA1";"000000000010140881";"ST";2;"134134";"Z2";NA
"RA1";"000000000010140887";"ST";2;"134172";"Z2";NA
"RA1";"000000000010140891";"ST";2;"134202";"Z2";NA
"RA1";"000000000010140902";"ST";2;"134271";"Z2";NA
"RA1";"000000000010140943";"ST";2;"135125";"Z2";NA
"RA1";"000000000010140947";"ST";2;"135174";"Z2";NA
"RA1";"000000000010140965";"ST";2;"135355";"Z2";NA
"RA1";"000000000010140966";"ST";2;"135361";"Z2";NA
"RA1";"000000000010140972";"ST";2;"135494";"Z2";NA
"RA1";"000000000010140987";"ST";2;"136452";"Z2";NA
